Date,Daily ROR,Index Value
08/15/2023,-0.03%,1384.12
08/14/2023,0.04%,1384.49
08/11/2023,0.03%,1383.99
08/10/2023,0.14%,1383.52
08/09/2023,0.05%,1381.54
08/08/2023,-0.03%,1380.91
08/07/2023,0.11%,1381.31
08/04/2023,0.05%,1379.84
08/03/2023,-0.09%,1379.12
08/02/2023,-0.21%,1380.31
08/01/2023,-0.03%,1383.26
07/31/2023,0.12%,1383.64
07/28/2023,0.08%,1382.03
07/27/2023,-0.02%,1380.95
07/26/2023,-0.03%,1381.18
07/25/2023,0.00%,1381.54
07/24/2023,0.02%,1381.56
07/21/2023,0.03%,1381.31
07/20/2023,-0.09%,1380.85
07/19/2023,0.01%,1382.12
07/18/2023,0.01%,1381.99
07/17/2023,0.05%,1381.79
07/14/2023,0.05%,1381.13
07/13/2023,0.08%,1380.4
07/12/2023,0.18%,1379.25
07/11/2023,0.14%,1376.76
07/10/2023,0.10%,1374.82
07/07/2023,-0.04%,1373.5
07/06/2023,-0.20%,1374.11
07/05/2023,-0.02%,1376.82
07/04/2023,0.01%,1377.15
07/03/2023,0.04%,1377.02
06/30/2023,0.14%,1376.47
06/29/2023,0.02%,1374.55
06/28/2023,0.05%,1374.28
06/27/2023,0.06%,1373.65
06/26/2023,-0.10%,1372.84
06/23/2023,-0.01%,1374.23
06/22/2023,-0.02%,1374.33
06/21/2023,0.00%,1374.58
06/20/2023,-0.15%,1374.63
06/19/2023,0.01%,1376.75
06/16/2023,-0.01%,1376.69
06/15/2023,0.08%,1376.79
06/14/2023,0.01%,1375.68
06/13/2023,0.10%,1375.53
06/12/2023,0.10%,1374.11
06/09/2023,-0.01%,1372.79
06/08/2023,0.02%,1372.91
06/07/2023,-0.07%,1372.62
06/06/2023,0.12%,1373.54
06/05/2023,0.12%,1371.94
06/02/2023,0.13%,1370.3
06/01/2023,0.18%,1368.49
05/31/2023,-0.13%,1366.07
05/30/2023,0.02%,1367.79
05/29/2023,0.02%,1367.5
05/26/2023,0.05%,1367.17
05/25/2023,-0.02%,1366.44
05/24/2023,-0.17%,1366.71
05/23/2023,-0.14%,1369.02
05/22/2023,0.06%,1370.93
05/19/2023,-0.04%,1370.06
05/18/2023,0.03%,1370.67
05/17/2023,0.05%,1370.19
05/16/2023,-0.33%,1369.53
05/15/2023,0.08%,1374.04
05/12/2023,0.04%,1372.98
05/11/2023,0.10%,1372.41
05/10/2023,0.05%,1371.01
05/09/2023,0.01%,1370.37
05/08/2023,-0.06%,1370.22
05/05/2023,0.02%,1371.1
05/04/2023,-0.06%,1370.85
05/03/2023,-0.08%,1371.65
05/02/2023,0.02%,1372.73
04/28/2023,0.07%,1372.45
04/27/2023,0.11%,1371.54
04/26/2023,-0.06%,1370.08
04/25/2023,-0.09%,1370.89
04/24/2023,0.02%,1372.14
04/21/2023,0.03%,1371.85
04/20/2023,-0.01%,1371.46
04/19/2023,-0.05%,1371.54
04/18/2023,-0.04%,1372.19
04/17/2023,0.05%,1372.68
04/14/2023,-0.06%,1372.01
04/13/2023,0.14%,1372.77
04/12/2023,0.02%,1370.83
04/11/2023,0.20%,1370.59
04/06/2023,0.03%,1367.92
04/05/2023,-0.01%,1367.52
04/04/2023,-0.05%,1367.72
04/03/2023,0.04%,1368.37
03/31/2023,0.24%,1367.78
03/30/2023,0.13%,1364.55
03/29/2023,0.18%,1362.76
03/28/2023,-0.01%,1360.26
03/27/2023,0.02%,1360.42
03/24/2023,-0.07%,1360.13
03/23/2023,-0.05%,1361.15
03/22/2023,0.00%,1361.77
03/21/2023,0.23%,1361.74
03/20/2023,-0.24%,1358.64
03/17/2023,-0.07%,1361.97
03/16/2023,-0.02%,1362.96
03/15/2023,-0.41%,1363.29
03/14/2023,0.01%,1368.94
03/13/2023,-0.65%,1368.74
03/10/2023,-0.53%,1377.65
03/09/2023,-0.14%,1384.98
03/08/2023,-0.07%,1386.91
03/07/2023,-0.12%,1387.93
03/06/2023,0.09%,1389.65
03/03/2023,0.14%,1388.44
03/02/2023,0.09%,1386.46
03/01/2023,0.08%,1385.29
02/28/2023,-0.05%,1384.21
02/27/2023,0.06%,1384.93
02/24/2023,-0.14%,1384.09
02/23/2023,0.12%,1386.05
02/22/2023,-0.10%,1384.4
02/21/2023,-0.23%,1385.73
02/20/2023,-0.07%,1388.86
02/17/2023,-0.08%,1389.88
02/16/2023,0.08%,1390.98
02/15/2023,-0.08%,1389.85
02/14/2023,-0.01%,1391.01
02/13/2023,0.03%,1391.11
02/10/2023,-0.17%,1390.67
02/09/2023,-0.01%,1393.05
02/08/2023,0.06%,1393.14
02/07/2023,-0.03%,1392.35
02/06/2023,-0.14%,1392.78
02/03/2023,-0.15%,1394.75
02/02/2023,0.18%,1396.9
02/01/2023,0.26%,1394.35
01/31/2023,0.00%,1390.72
01/30/2023,-0.12%,1390.7
01/27/2023,0.10%,1392.34
01/26/2023,0.15%,1390.94
01/25/2023,-0.01%,1388.9
01/24/2023,0.08%,1389.04
01/23/2023,0.09%,1387.96
01/20/2023,0.19%,1386.65
01/19/2023,-0.10%,1384.05
01/18/2023,-0.04%,1385.39
01/17/2023,0.04%,1385.96
01/16/2023,0.08%,1385.41
01/13/2023,0.09%,1384.3
01/12/2023,0.21%,1383.07
01/11/2023,0.10%,1380.11
01/10/2023,0.00%,1378.78
01/09/2023,0.13%,1378.77
01/06/2023,0.23%,1377.04
01/05/2023,0.06%,1373.86
01/04/2023,0.13%,1373.05
01/03/2023,0.22%,1371.32
01/02/2023,0.04%,1368.33
12/30/2022,-0.01%,1367.83
12/29/2022,0.09%,1367.93
12/28/2022,-0.03%,1366.72
12/27/2022,-0.01%,1367.19
12/23/2022,0.01%,1367.26
12/22/2022,-0.03%,1367.13
12/21/2022,0.24%,1367.58
12/20/2022,-0.06%,1364.28
12/19/2022,-0.15%,1365.04
12/16/2022,-0.12%,1367.15
12/15/2022,-0.20%,1368.8
12/14/2022,-0.05%,1371.53
12/13/2022,0.22%,1372.26
12/12/2022,0.00%,1369.23
12/09/2022,0.01%,1369.3
12/08/2022,0.09%,1369.22
12/07/2022,-0.05%,1367.96
12/06/2022,-0.16%,1368.69
12/05/2022,-0.04%,1370.83
