category,min,p25,p50,p75,max
US Equity - Large Cap,0.043,0.055,0.065,0.072,0.093
US Equity - Small/Mid Cap,0.037,0.063,0.070,0.078,0.100
Non-US Equity - Developed,0.042,0.063,0.070,0.077,0.098
Non-US Equity - Emerging,0.021,0.069,0.077,0.085,0.098
US Corporate Bonds - Core,0.037,0.047,0.050,0.053,0.062
US Corporate Bonds - Long Duration,0.036,0.046,0.051,0.055,0.063
US Corporate Bonds - High Yield,0.046,0.056,0.060,0.064,0.074
Non-US Debt - Developed,0.018,0.030,0.038,0.046,0.077
Non-US Debt - Emerging,0.035,0.058,0.060,0.066,0.076
US Treasuries (Cash Equivalents),0.024,0.033,0.035,0.039,0.049
TIPS (Inflation-Protected),0.029,0.043,0.045,0.047,0.053
Real Estate,0.028,0.055,0.065,0.069,0.096
Hedge Funds,0.042,0.054,0.058,0.063,0.085
Commodities,0.022,0.038,0.044,0.055,0.075
Infrastructure,0.054,0.066,0.072,0.078,0.111
Private Equity,0.048,0.085,0.093,0.099,0.110
Private Debt,0.067,0.075,0.080,0.082,0.097
Inflation,0.020,0.023,0.024,0.025,0.029
