ticker,sleeve,name,asset_class,frequency,alpha,resid_vol,total_vol,r2,w_workbook,factor_excess_cma,rf_rate,pe_factor_exposure,long_only_betas,FactorPrior1,FactorPrior2,w_paper,equity_regional_addon
LGTRTRUH Index,Global Government,Govt Global USD,Bonds,ME,-0.00249179334039579,0.0100398738233203,0.03582701720291982,0.9244117542146529,0.0,0.00670557588672239,0.041811,False,True,,,0.0,0.0
LGCPTRUH Index,Global IG Bonds,IG Corp Global USD,Bonds,ME,-0.02115303457161906,0.02137077983558034,0.05475604847439074,0.8306176643800919,0.0,0.01948025101013829,0.041811,False,True,Credit IG,,0.0,0.0
H23059US Index,Global HY Bonds,HY Global USD,Bonds,ME,-0.01421452406762651,0.0261344525953537,0.05615796770481349,0.7686742785991206,0.0,0.02627739885859046,0.041811,False,True,Credit HY,,0.0,0.0
H04386US Index,EM HC Bonds,EM Bonds HC USD,Bonds,ME,0.004698012320435681,0.02308149162216322,0.06605535666702037,0.8593898647690156,0.0,0.02653726806504796,0.041811,False,True,Credit EM,,0.0,0.0
LF94TRUH Index,Global Inflation-Linked,IL Bonds Global USD,Bonds,ME,0.0002390591293888734,0.02245981862500153,0.0575844969355415,0.8361795803942572,0.0,0.01478215970797845,0.041811,False,True,Rates,Inflation,0.0,0.0
NDDUUS Index,US,EQ US,Equities,ME,0.02095376044400094,0.04230601924053595,0.1616981172131771,0.9143208794225617,0.0,0.04089318247715738,0.041811,False,True,Equity,,0.0,0.0005281872982423704
MSDEXKSN Index,Europe ex-UK,EQ EU xUK xSwiss,Equities,ME,0.02323101205184222,0.06997158340580159,0.170884571490188,0.8169725209121043,0.0,0.05678494935042133,0.041811,False,True,Equity,,0.0,0.01966156728728065
NDDLUK Index,UK,EQ UK,Equities,ME,0.03543924793505996,0.07760931015309598,0.1408355968711108,0.6733288180210927,0.0,0.06294455417454776,0.041811,False,True,Equity,,0.0,0.03218634103916986
NDDLSZ Index,Switzerland,EQ Swiss MSCI,Equities,ME,0.03686716416983277,0.07642017235717947,0.1540144186877486,0.7533325131834108,0.0,0.05999099405930973,0.041811,False,True,Equity,,0.0,0.02726280633513132
NDDLJN Index,Japan,EQ Japan,Equities,ME,0.05352766502930469,0.08858759280946607,0.1641755272165082,0.6849789996873784,0.0,0.03958053082560549,0.041811,False,True,Equity,,0.0,0.01238338738385696
M1APJ Index,Asia ex-Japan,EQ AC Asia xJP,Equities,ME,0.05170013643973636,0.1126022514758233,0.2025761513194415,0.6499538651732557,0.0,0.04497542664055298,0.041811,False,True,Equity,,0.0,0.00796315957689273
M1EFZ Index,EM ex-Asia,EQ EM xAsia,Equities,ME,-0.02843439765062121,0.1003118801566979,0.1688700547668657,0.6240025122269628,0.0,0.06144665771420065,0.041811,False,True,Equity,,0.0,0.02726721248207902
MP503001 Index,Private Equity,PE MSCI,Alternatives,QE,0.03576736697548148,0.0761323046896376,0.1179714438641463,0.6290924953641461,0.5,0.03928698259862031,0.041811,True,True,,,0.5,0.0
MP503008 Index,Private Credit,PC MSCI,Alternatives,QE,0.01998912880048275,0.05483779878334045,0.08350998838418501,0.6493709224155089,0.5,0.0282840775542929,0.041811,True,True,,,0.5,0.0
MP503009 Index,Real Estate,PE Real Estate,Alternatives,QE,-0.01846508861480191,0.07510931476023691,0.1123929183670331,0.5980451351440941,0.0,0.0296809877746485,0.041811,True,True,,,0.0,0.0
EHFI804 Index,Insurance-Linked,ILS Eureka,Alternatives,QE,0.03417836622639923,0.04992976645765768,0.0548417585198404,0.1401645676218238,1.0,0.003035172706684689,0.041811,False,True,,,1.0,0.0
HFRIFWI Index,Hedge Funds,HF HFRI,Alternatives,ME,0.02104294064665034,0.02788284735607874,0.06275262596668242,0.7633822117312538,1.0,0.01408240966348975,0.041811,False,False,,,1.0,0.0
BCOMGCTR Index,Gold,Gold USD,Alternatives,ME,0.1091178067095073,0.1512010785744329,0.1781700497874213,0.3003884196814716,0.25,0.01401833101580314,0.041811,False,False,,,0.25,0.0
