,Equity,Rates,Credit IG,Credit HY,Credit EM,Carry G10,Carry EM,Inflation,Commodities,Private Equity,Rates Vol,Fx
LGTRTRUH Index,0.01924767971113073,0.5947003561277475,1.075543345087251e-05,1.282346456550244e-05,2.556674227795795e-05,8.699309971030606e-06,1.067778131676775e-05,-8.997526367419908e-06,0.0,0.0,-1.252625131249699e-05,-1.039376876339301e-05
LGCPTRUH Index,6.771329546014852e-06,0.4758767615291398,0.7331248315693686,1.353733002600474e-05,0.1191961543429806,7.268520617079742e-06,2.913260014078214e-05,0.0,0.0,0.0,-1.363687222902495e-05,-3.15177259121872e-05
H23059US Index,3.934331063009389e-05,0.1418052964119361,1.571210456217571e-05,0.9993554482831888,0.06041862393728199,2.001600993621174e-05,2.348898980287301e-05,1.51277697130437e-05,0.0,0.0,-1.595742151197186e-05,-9.861780424079592e-05
H04386US Index,0.0159810823585762,1.244059400884537e-05,0.03404857048031153,0.0001115249333961853,1.278481945265365,1.395174362299725e-05,2.058576547777085e-05,0.0,0.0,0.0,-1.210109092084847e-05,-1.854826961830171e-05
LF94TRUH Index,0.01627862565516032,1.021448130173898,1.023612532544022e-05,1.170567183782459e-05,2.460600354261468e-05,9.393774057037352e-06,9.727447109953638e-06,0.5806033640331901,0.0,0.0,-1.078712343791871e-05,-7.010179500070103e-06
NDDUUS Index,0.9841021519880696,0.07205110061105009,0.0001384348633115178,8.011673146904804e-05,0.08376352519308494,0.0374653324514715,1.05270229372879e-05,0.0,0.0,0.0,-1.218443016164082e-05,-8.760471110944571e-06
MSDEXKSN Index,0.6300159336885746,0.02124410335559007,5.942753585470557e-05,0.00863284722187675,0.5829980451326219,0.034939602697013,0.3364518329941683,0.0,0.0,0.0,-0.2848862676777603,-0.7934238270408808
NDDLUK Index,0.4415444257142579,0.0008350732018615175,2.683470612198109e-05,0.00286716774055214,0.5199636325439684,0.1170583347378417,0.3537835501028681,0.0,0.0,0.0,-0.1623163581431264,-0.6520725890441905
NDDLSZ Index,0.4526568588513489,0.5099765373905417,6.806406112116497e-06,5.550500281780118e-06,0.4911142891773722,6.261232003622079e-06,0.3734320908830587,0.0,0.0,0.0,-0.3357688192447368,-0.6055807361969693
NDDLJN Index,0.6613195184480719,0.2863874448052366,6.398701530454976e-06,5.131020154539458e-06,0.1989492341625574,6.334047044892691e-05,0.02517872021079815,0.0,0.0,0.0,-0.4582314487143903,-0.3680812139658556
M1APJ Index,0.8509950595165096,0.030336909623711,4.724228971853443e-06,4.037947018382373e-06,0.4075534917401968,0.01852642479238336,0.02545210231557515,0.0,0.0,0.0,-0.3864749587888491,-0.4401838873969425
M1EFZ Index,0.4897817463268446,7.269849566990247e-06,6.606782207407734e-05,0.07062116957491142,0.1952263865894609,0.1732831543640517,0.8231738853116363,0.0,0.0,0.0,-0.1315143444944293,-0.9581752855055242
MP503001 Index,0.3140362565081438,0.2833067102472401,4.474960081040096e-06,3.535089822923291e-06,0.2054963552500871,3.369709604559734e-06,1.028430941534611e-06,0.4619923593213641,0.05789312411399552,0.4579089914458205,-1.445716373752197e-06,-0.3047314446718586
MP503008 Index,2.250551978923651e-05,4.093860605100585e-06,0.3873592589807431,1.206092242683743e-05,0.3184619949106851,0.09178281551719435,4.790657170448231e-06,0.4790230693673835,0.096955503678806,0.2607165936317549,-1.239578526198771e-06,-0.3118647505796447
MP503009 Index,0.2709041332750259,0.3317003201656502,3.914440548698804e-06,2.233641228510044e-06,0.4254591699844648,3.799183440409126e-06,9.588201426519876e-07,0.869917543050814,0.07505143310424262,1.71950864874292e-06,-1.734254859885265e-06,-0.07434825281647466
EHFI804 Index,0.1008950844647108,0.100174417561538,4.714054693666318e-06,3.154584106768391e-06,1.599591246936804e-06,1.047811967346982e-05,1.339759115239344e-06,0.0,0.0,0.0,-0.1613835755043947,-4.736151188525909e-06
HFRIFWI Index,0.3491910719405433,1.361511453428631e-05,4.385382025391983e-05,7.568392519716831e-05,0.04142064428055288,0.0,0.0,0.0,0.0,0.0,-0.007193411643643188,-0.03230613859008603
BCOMGCTR Index,3.203817592602044e-06,0.5426099360463231,2.89164637724939e-06,2.603433055871058e-06,3.716882930403193e-06,-4.54744231453277e-06,0.7641708204319997,0.0,0.0,0.0,-0.03379907618686666,-1.083229072630754
