,Equity,Rates,Credit IG,Credit HY,Credit EM,Carry G10,Carry EM,Inflation,Commodities,Private Equity,Rates Vol,Fx
Equity,0.02398319014637096,0.001769492977874285,0.006080957909460994,0.00620839653804775,0.003867287913884989,0.002528421394973186,0.0005834801834618574,0.001498341269052924,0.009334779703484456,0.001096565176776601,-0.0034301158590791,-0.00411152135925445
Rates,0.001769492977874285,0.003204359672389175,0.0002276610244843298,0.0002351038621970324,0.001805900126193938,-0.0007693221969873159,-0.0004709530984784703,-0.001100207712915664,-0.001114276162357156,-0.0001088092972873724,-0.0005772192219960475,-0.001566921168859421
Credit IG,0.006080957909460994,0.0002276610244843298,0.002257626869449211,0.002071168042400024,0.001187778737121555,0.0008208350123937111,0.000252028566336483,0.0005262199425367655,0.002267047958970247,0.0003680102248573026,-0.0009036309294589741,-0.0008011938459372515
Credit HY,0.00620839653804775,0.0002351038621970324,0.002071168042400024,0.002171881727939619,0.001082777337165813,0.0007480146123246941,0.0002889900983538951,0.0004935423088749082,0.002090215267530105,0.0006149468084970892,-0.0009355111945352379,-0.0009261619294738681
Credit EM,0.003867287913884989,0.001805900126193938,0.001187778737121555,0.001082777337165813,0.002173885851878232,-0.0001376012120886855,5.082499866756554e-05,-0.0003022489260394508,0.0006324851713153241,0.0007544605995582878,-0.0007279003269299118,-0.001507985098384934
Carry G10,0.002528421394973186,-0.0007693221969873159,0.0008208350123937111,0.0007480146123246941,-0.0001376012120886855,0.002351202257440815,0.0005026527666558397,0.001028172877822939,0.002730898464087684,3.830582369780979e-05,-0.0003296351455576075,0.001306920142166721
Carry EM,0.0005834801834618574,-0.0004709530984784703,0.000252028566336483,0.0002889900983538951,5.082499866756554e-05,0.0005026527666558397,0.001884427322080885,0.0002706703535382265,0.0006131791664067042,0.0001090042320257842,-0.0001072193249193612,0.0001907491813224699
Inflation,0.001498341269052924,-0.001100207712915664,0.0005262199425367655,0.0004935423088749082,-0.0003022489260394508,0.001028172877822939,0.0002706703535382265,0.002015869045386877,0.00411665062249328,0.0002947944681885184,2.208428822737194e-05,0.0003416718161721209
Commodities,0.009334779703484456,-0.001114276162357156,0.002267047958970247,0.002090215267530105,0.0006324851713153241,0.002730898464087684,0.0006131791664067042,0.00411665062249328,0.0258536696196066,-5.896714248812417e-05,-0.00108239542938477,-0.002148874187755861
Private Equity,0.001096565176776601,-0.0001088092972873724,0.0003680102248573026,0.0006149468084970892,0.0007544605995582878,3.830582369780979e-05,0.0001090042320257842,0.0002947944681885184,-5.896714248812417e-05,0.005022660821289896,8.474991151964896e-05,0.0001324080067986455
Rates Vol,-0.0034301158590791,-0.0005772192219960475,-0.0009036309294589741,-0.0009355111945352379,-0.0007279003269299118,-0.0003296351455576075,-0.0001072193249193612,2.208428822737194e-05,-0.00108239542938477,8.474991151964896e-05,0.002771201119408569,0.0006322723425013582
Fx,-0.00411152135925445,-0.001566921168859421,-0.0008011938459372515,-0.0009261619294738681,-0.001507985098384934,0.001306920142166721,0.0001907491813224699,0.0003416718161721209,-0.002148874187755861,0.0001324080067986455,0.0006322723425013582,0.004795562098030179
