ticker,sleeve,name,asset_class,frequency,alpha,resid_vol,total_vol,r2,w_workbook,factor_excess_cma,rf_rate,pe_factor_exposure,long_only_betas,FactorPrior1,FactorPrior2,w_paper,equity_regional_addon
LGTRTRUH Index,Global Government,Govt Global USD,Bonds,ME,-0.002491407375994675,0.01003993725687246,0.03582698830729829,0.9244107990540277,0.0,0.006705434982105791,0.041811,False,True,,,0.0,0.0
LGCPTRUH Index,Global IG Bonds,IG Corp Global USD,Bonds,ME,-0.02115264567302006,0.02137078318836733,0.05475597327803771,0.8306176112324819,0.0,0.01948024505196061,0.041811,False,True,Credit IG,,0.0,0.0
H23059US Index,Global HY Bonds,HY Global USD,Bonds,ME,-0.01421431299445311,0.02613454232029058,0.05615752518840913,0.7686726902190844,0.0,0.02627778206139941,0.041811,False,True,Credit HY,,0.0,0.0
H04386US Index,EM HC Bonds,EM Bonds HC USD,Bonds,ME,0.004698532358657109,0.02308159321762396,0.06605528351311987,0.8593886269475481,0.0,0.02653694999950731,0.041811,False,True,Credit EM,,0.0,0.0
LF94TRUH Index,Global Inflation-Linked,IL Bonds Global USD,Bonds,ME,0.0002394855497333505,0.02245981645498183,0.05758441487390497,0.8361796120502137,0.0,0.01478199045364319,0.041811,False,True,Rates,Inflation,0.0,0.0
NDDUUS Index,US,EQ US,Equities,ME,0.0209548378477766,0.04230630633410573,0.1616976903236003,0.9143197165616503,0.0,0.04089221661944611,0.041811,False,True,,,0.0,0.0005278391579036893
MSDEXKSN Index,Europe ex-UK,EQ EU xUK xSwiss,Equities,ME,0.02368716480719205,0.06995601866819894,0.1707520294689957,0.8170539384733898,0.0,0.05767136684778128,0.041811,False,True,,,0.0,0.02002498441616323
NDDLUK Index,UK,EQ UK,Equities,ME,0.03598522069105008,0.07760904499250586,0.1407344411321512,0.6733310502320283,0.0,0.06359120675857273,0.041811,False,True,,,0.0,0.03244731832039426
NDDLSZ Index,Switzerland,EQ Swiss MSCI,Equities,ME,0.04392774367258154,0.078529684923569,0.1539907140780699,0.7395264714873833,0.0,0.07264951111875688,0.041811,False,True,,,0.0,0.03437353156061786
NDDLJN Index,Japan,EQ Japan,Equities,ME,0.05352871900218006,0.08858775767754899,0.164175550161216,0.6849778271313787,0.0,0.03958022989762332,0.041811,False,True,,,0.0,0.0123833275907419
M1APJ Index,Asia ex-Japan,EQ AC Asia xJP,Equities,ME,0.05170119150965271,0.1126023369364472,0.2025761390484398,0.6499533338309061,0.0,0.04497528193086452,0.041811,False,True,,,0.0,0.007963118718231046
M1EFZ Index,EM ex-Asia,EQ EM xAsia,Equities,ME,-0.02744776958051658,0.1004007388315399,0.1686332770797009,0.623336081961104,0.0,0.06151826891148282,0.041811,False,True,,,0.0,0.02733579627677481
MP503001 Index,Private Equity,PE MSCI,Alternatives,QE,0.03576736697548148,0.0761323046896376,0.1179714438641463,0.6290924953641461,0.5,0.03928698259862031,0.041811,True,True,,,0.5,0.0
MP503008 Index,Private Credit,PC MSCI,Alternatives,QE,0.01998912880048275,0.05483779878334045,0.08350998838418501,0.6493709224155089,0.5,0.0282840775542929,0.041811,True,True,,,0.5,0.0
MP503009 Index,Real Estate,PE Real Estate,Alternatives,QE,-0.01846508861480191,0.07510931476023691,0.1123929183670331,0.5980451351440941,0.0,0.0296809877746485,0.041811,True,True,,,0.0,0.0
EHFI804 Index,Insurance-Linked,ILS Eureka,Alternatives,QE,0.03417836622639923,0.04992976645765768,0.0548417585198404,0.1401645676218238,1.0,0.003035172706684689,0.041811,False,True,,,1.0,0.0
HFRIFWI Index,Hedge Funds,HF HFRI,Alternatives,ME,0.0210422003254881,0.0278828904234829,0.06275255401143179,0.7633814807785172,1.0,0.01408291015158254,0.041811,False,False,,,1.0,0.0
BCOMGCTR Index,Gold,Gold USD,Alternatives,ME,0.1091176959981175,0.1512010388682163,0.1781700710849496,0.3003887871249525,0.25,0.01401853225624857,0.041811,False,False,,,0.25,0.0
