,Equity,Rates,Credit IG,Credit HY,Credit EM,Carry G10,Carry EM,Inflation,Commodities,Private Equity,Rates Vol,Fx
LGTRTRUH Index,0.01924840133425335,0.594704289575507,8.485553080062776e-06,1.015192449101372e-05,2.033853377036945e-05,6.829725321368307e-06,8.404549659736678e-06,-7.044505925425662e-06,0.0,0.0,-9.898817078989835e-06,-8.215703606514469e-06
LGCPTRUH Index,5.37047916938606e-06,0.4758807977391065,0.7331302068130181,1.071718742674702e-05,0.1191980233041378,5.703162339069507e-06,2.312876293806409e-05,0.0,0.0,0.0,-1.07564252780228e-05,-2.509396774459995e-05
H23059US Index,3.232722326307731e-05,0.1417939706425901,1.239398991634552e-05,0.9993584039619495,0.06046069627528464,1.581478782961451e-05,1.862256737531587e-05,1.195271311456123e-05,0.0,0.0,-1.261604667498332e-05,-7.905983559775482e-05
H04386US Index,0.01598817653381791,9.788728220570347e-06,0.03404522816039301,8.928873578601738e-05,1.278485564509393,1.100744687551488e-05,1.626492013488257e-05,0.0,0.0,0.0,-9.537184442754127e-06,-1.469420010208639e-05
LF94TRUH Index,0.01627883200386144,1.021451508574117,8.074358821196696e-06,9.261426647100814e-06,1.955996754354346e-05,7.383474908017013e-06,7.651969452119268e-06,0.5806037111793511,0.0,0.0,-8.511899782420787e-06,-5.520298335549848e-06
NDDUUS Index,0.9841126306236021,0.07204226015401505,0.0001103436617474542,6.377414512958014e-05,0.08377037357638613,0.03744485170450375,8.325057687070365e-06,0.0,0.0,0.0,-9.603005403318312e-06,-6.891932098050862e-06
MSDEXKSN Index,0.6231772852153074,0.003112015906262242,4.492544688830724e-05,0.006929538463448405,0.6369382760371929,0.03567248676499758,0.3251469411036849,0.0,0.0,0.0,-0.2793833186102075,-0.7870282994592549
NDDLUK Index,0.4370162869834734,6.989820588614802e-05,2.089619710303671e-05,0.002562960576664908,0.5499483472814868,0.1180248067079833,0.3461093891915965,0.0,0.0,0.0,-0.1570863256335721,-0.6458801856477973
NDDLSZ Index,0.3098980161658309,0.2145174584757323,5.941861662906612e-06,4.66025694092824e-06,1.247732976012011,6.116559005751907e-06,0.2769174976729047,0.0,0.0,0.0,-0.3273476439634965,-0.5615052187429289
NDDLJN Index,0.6613211537648372,0.2863743675081715,5.012637267114745e-06,4.014859409943826e-06,0.198962908674648,5.060947081114635e-05,0.02515622050443937,0.0,0.0,0.0,-0.4582314743506702,-0.3680761388218461
M1APJ Index,0.8509958240550566,0.03032466058569817,3.693204999036223e-06,3.153741064527177e-06,0.4075737048568346,0.01851410711562728,0.02542934621683254,0.0,0.0,0.0,-0.3864732240909562,-0.4401771500839738
M1EFZ Index,0.4884984210150636,5.466720485889591e-06,5.179296532084647e-05,0.06580006824649087,0.210407175486768,0.1734746964358783,0.8091961698484627,0.0,0.0,0.0,-0.1291062804309469,-0.9535731614944444
MP503001 Index,0.3140362565081438,0.2833067102472401,4.474960081040096e-06,3.535089822923291e-06,0.2054963552500871,3.369709604559734e-06,1.028430941534611e-06,0.4619923593213641,0.05789312411399552,0.4579089914458205,-1.445716373752197e-06,-0.3047314446718586
MP503008 Index,2.250551978923651e-05,4.093860605100585e-06,0.3873592589807431,1.206092242683743e-05,0.3184619949106851,0.09178281551719435,4.790657170448231e-06,0.4790230693673835,0.096955503678806,0.2607165936317549,-1.239578526198771e-06,-0.3118647505796447
MP503009 Index,0.2709041332750259,0.3317003201656502,3.914440548698804e-06,2.233641228510044e-06,0.4254591699844648,3.799183440409126e-06,9.588201426519876e-07,0.869917543050814,0.07505143310424262,1.71950864874292e-06,-1.734254859885265e-06,-0.07434825281647466
EHFI804 Index,0.1008950844647108,0.100174417561538,4.714054693666318e-06,3.154584106768391e-06,1.599591246936804e-06,1.047811967346982e-05,1.339759115239344e-06,0.0,0.0,0.0,-0.1613835755043947,-4.736151188525909e-06
HFRIFWI Index,0.3492012750121795,1.079378300021369e-05,3.474651948966926e-05,6.022286799769789e-05,0.04143152914948129,0.0,0.0,0.0,0.0,0.0,-0.007154288020605791,-0.03230367512653642
BCOMGCTR Index,2.518602675690761e-06,0.5426166047895512,2.261618422760795e-06,2.037608200358431e-06,2.904612967211797e-06,-3.552265813807831e-06,0.7641758174031421,0.0,0.0,0.0,-0.03378741384586092,-1.083230286257612
