ticker,sleeve,name,asset_class,frequency,alpha,resid_vol,total_vol,r2,w_workbook,w_paper,factor_excess_cma,equity_regional_addon,rf_rate
LGTRTRUH Index,Global Government,Govt Global USD,Bonds,ME,-0.0005407336593381897,0.01106576955862433,0.04013169663897728,0.9087042746440739,0.0,0.0,0.0075236821036607,0.0,0.041811
LGCPTRUH Index,Global IG Bonds,IG Corp Global USD,Bonds,ME,-0.004762493686167363,0.02132724056712212,0.04628031282622724,0.831734116178558,0.0,0.0,0.01182173178612532,0.0,0.041811
H23059US Index,Global HY Bonds,HY Global USD,Bonds,ME,-0.0082643387399346,0.02583732145393142,0.05322897586262931,0.7738695567325814,0.0,0.0,0.01509317080936124,0.0,0.041811
H04386US Index,EM HC Bonds,EM Bonds HC USD,Bonds,ME,-0.002184765904864195,0.03168204399843297,0.05829080835665759,0.7355591962689143,0.0,0.0,0.01506538788659128,0.0,0.041811
LF94TRUH Index,Global Inflation-Linked,IL Bonds Global USD,Bonds,ME,-0.01449521105577476,0.02625796290862977,0.04780193650110294,0.7768003034184419,0.0,0.0,0.01110895659288325,0.0,0.041811
NDDUUS Index,US,EQ US,Equities,ME,0.01983650531733124,0.04213178971147112,0.1619867638945489,0.9150360870134387,0.0,0.0,0.04152186651390011,0.0002418309204315669,0.041811
MSDEXKSN Index,Europe ex-UK,EQ EU xUK xSwiss,Equities,ME,0.0493221944571563,0.07369007309462212,0.1694409889579729,0.7968057673134263,0.0,0.0,0.04384142688373809,0.01748413364217533,0.041811
NDDLUK Index,UK,EQ UK,Equities,ME,0.05548969648314503,0.07755138461300308,0.1440937561777401,0.6727700010663014,0.0,0.0,0.05314225476139429,0.03109144557961792,0.041811
NDDLSZ Index,Switzerland,EQ Swiss MSCI,Equities,ME,0.06231148911110379,0.07978804873807192,0.1524041255106394,0.728824538836827,0.0,0.0,0.04668219977872655,0.02507200222981546,0.041811
NDDLJN Index,Japan,EQ Japan,Equities,ME,0.05042241247901991,0.08861102385037646,0.1630100761313049,0.6829011751018907,0.0,0.0,0.0374761012924015,0.01174853081721312,0.041811
M1APJ Index,Asia ex-Japan,EQ AC Asia xJP,Equities,ME,0.05513929395883836,0.1120604092066559,0.2009946606310162,0.6535804900635298,0.0,0.0,0.0409793979030099,0.006522756339320203,0.041811
M1EFZ Index,EM ex-Asia,EQ EM xAsia,Equities,ME,0.009350912316695725,0.09979118871708617,0.1764198356988632,0.6279171235039362,0.0,0.0,0.04521145380545098,0.02315648957286541,0.041811
MP503001 Index,Private Equity,PE MSCI,Alternatives,QE,0.02799348170679294,0.07549331393926109,0.1208174177501348,0.6268482872416961,1.0,0.5,0.03952859769689851,0.0,0.041811
MP503008 Index,Private Credit,PC MSCI,Alternatives,QE,0.01854182463188092,0.04969457958851066,0.07785245664823187,0.6447258570408922,0.5,0.5,0.02343297074885318,0.0,0.041811
MP503009 Index,Real Estate,PE Real Estate,Alternatives,QE,-0.0247915951634988,0.07241570386467017,0.1093947742959996,0.5688503674042484,0.0,0.0,0.02262118885014413,0.0,0.041811
EHFI804 Index,Insurance-Linked,ILS Eureka,Alternatives,QE,0.03582603800451237,0.04333009932241727,0.04856041273120566,0.1656605203687594,1.0,1.0,0.002568224904097914,0.0,0.041811
HFRIFWI Index,Hedge Funds,HF HFRI,Alternatives,ME,0.02041803037598066,0.02652988456897803,0.06144969321073018,0.7858565832760422,1.0,1.0,0.01324664120763077,0.0,0.041811
BCOMGCTR Index,Gold,Gold USD,Alternatives,ME,0.1392971888885731,0.1518366948171008,0.1792645524164835,0.2955821705077616,0.25,0.25,0.008448764639646765,0.0,0.041811
