,Equity,Rates,Credit,Carry,Inflation,Commodities,Private Equity,Rates Vol,Fx
LGTRTRUH Index,0.01778758676173592,0.6718592513143069,4.449236393878572e-07,4.062886533138611e-07,4.506886513155791e-07,-1.487170056295352e-19,-6.220612520700634e-19,-1.231785040841877e-06,-3.719222595034488e-07
LGCPTRUH Index,0.08440882643957379,0.5221721039701972,0.2000001049680748,3.066706860732991e-07,3.799820200993153e-07,0.01453178719297283,-7.446431930374764e-19,-1.149842996514273e-06,-0.04205453703867916
H23059US Index,0.1020011927457832,0.1846405144388517,0.5934480362663151,3.967908327376831e-07,8.321253310243006e-07,0.03263298959755098,-3.486759025732662e-19,-1.339205202447383e-06,-0.002583943742915644
H04386US Index,0.1189300103028979,0.4250440622555091,0.4000000938991023,3.55733982289183e-07,3.609939541237703e-07,0.01522045124953246,-2.972314607302194e-19,-1.530223162011053e-06,-0.06781623728258958
LF94TRUH Index,0.07590456213719123,0.6496601352901362,4.806993032649918e-07,3.77242754808439e-07,0.20000016169229,-1.631607092496062e-18,-1.83163301333728e-18,-1.748995850755175e-06,-7.13470859819458e-07
NDDUUS Index,0.993046468109586,0.09662391130951704,2.332592752384114e-06,0.01866133098345374,6.348201278490643e-07,0.02607423998905773,-1.425092959947263e-18,-6.315936510462219e-07,-3.186653281719318e-07
MSDEXKSN Index,0.6802647229549231,0.1883464462866533,5.692973028128166e-06,0.1455059213038665,4.507294950788615e-07,2.968228885109986e-06,7.099246414833579e-19,-0.3533866415418344,-0.8541860265893576
NDDLUK Index,0.473533856445655,0.226174863044839,2.103723457435944e-06,0.1245782666519138,3.295558121973111e-07,0.1479807498882024,1.322392307124456e-18,-0.3165308103616037,-0.6092476010044484
NDDLSZ Index,0.5117409252519022,0.6078075034303752,2.631911130524712e-07,3.514355689415674e-06,1.634824203417522e-07,7.515408758018566e-08,1.723497645754503e-18,-0.3921109381734614,-0.6515092486490963
NDDLJN Index,0.6915794132176029,0.3034980952839175,2.202256251056954e-07,6.068940171167321e-07,1.345165042665703e-07,1.010025118879674e-07,3.122964763756351e-19,-0.3876978858205219,-0.4302529777314715
M1APJ Index,0.8550971476891294,0.1625349347021795,1.8661713230761e-07,0.2548785190176597,2.566877831151205e-07,0.01596737199500158,3.737098183278356e-19,-0.3786444765914787,-0.5283513911638561
M1EFZ Index,0.485579222331516,0.02935115977824037,5.937191751020314e-06,0.07354395313121401,5.473853239964094e-07,0.3087831773586266,5.668514263640697e-19,-0.4331692532942455,-0.7941506102448258
MP503001 Index,0.4054949329426574,0.1689549157709656,2.389757983378668e-07,1.294720310552729e-06,0.04834860932748976,0.1182110680012509,0.4445501845175401,-1.730424613332727e-07,-0.3347353858181305
MP503008 Index,0.06145947794655552,5.503146398076219e-07,0.282914265838245,0.2245597079482226,0.1720708342581866,0.1200213955095776,0.2422029351887217,-1.470355262114224e-07,-0.3625436319357981
MP503009 Index,0.3185554387475446,0.2250195976317252,3.268336865224569e-07,0.1288635058037491,0.4674629356178007,0.1136387700091423,1.343176757267236e-07,-2.810386947143389e-07,-0.2268743630347602
EHFI804 Index,0.07875895725408663,0.1255759318201387,3.804335533212697e-07,4.248554708061527e-07,3.788183745662575e-07,0.01815755264873291,-3.755550010855355e-21,-0.1796441487468198,-2.662326747094538e-07
HFRIFWI Index,0.3179481957469003,-0.01038713295165386,2.321099321531557e-06,0.04599278647344467,5.088972118914988e-07,0.03719874622388449,-5.861451611858233e-19,-0.05602412886312712,-0.06014159544147537
BCOMGCTR Index,7.783064700473411e-08,0.58671592688548,7.761943615451941e-08,0.0008101997236896363,1.267805136028755e-07,0.2406702913130862,9.942679262604367e-19,-0.23432981395175,-0.8735365670099053
