ticker,sleeve,name,asset_class,frequency,alpha,resid_vol,total_vol,r2,w_workbook,w_paper,factor_excess_cma,equity_regional_addon,rf_rate
LGTRTRUH Index,Global Government,Govt Global USD,Bonds,ME,-0.0004564513108110961,0.01118724999746513,0.04031215393344892,0.906688776041571,0.0,0.0,0.007490244803513828,0.0,0.041811
LGCPTRUH Index,Global IG Bonds,IG Corp Global USD,Bonds,ME,-0.01093709846445825,0.02037278412373588,0.04884536472423515,0.8464578908264728,0.0,0.0,0.01622227619692181,0.0,0.041811
H23059US Index,Global HY Bonds,HY Global USD,Bonds,ME,-0.008232117319065436,0.0249812219250735,0.05293315444688365,0.7886066057392838,0.0,0.0,0.01680104353750478,0.0,0.041811
H04386US Index,EM HC Bonds,EM Bonds HC USD,Bonds,ME,0.001438845835787417,0.02221572877077501,0.06082133006546367,0.8699760929166633,0.0,0.0,0.02082161282670223,0.0,0.041811
LF94TRUH Index,Global Inflation-Linked,IL Bonds Global USD,Bonds,ME,-0.01591152681421781,0.02925038820654894,0.04820238196130337,0.7230286756993913,0.0,0.0,0.009487999131328518,0.0,0.041811
NDDUUS Index,US,EQ US,Equities,ME,0.01897990902278423,0.04211697047730489,0.162509800432084,0.9150958461025219,0.0,0.0,0.04119526405205889,0.000727744863676862,0.041811
MSDEXKSN Index,Europe ex-UK,EQ EU xUK xSwiss,Equities,ME,0.02946073184202321,0.07033423323822359,0.1686159803027734,0.814891263251329,0.0,0.0,0.05464513286992264,0.01971760476585696,0.041811
NDDLUK Index,UK,EQ UK,Equities,ME,0.03868014961859726,0.075075391490294,0.1424816607239435,0.6933314712107903,0.0,0.0,0.06331648450746336,0.03339670869556268,0.041811
NDDLSZ Index,Switzerland,EQ Swiss MSCI,Equities,ME,0.04003418901042467,0.07789716485004466,0.152096168951992,0.7415253228573684,0.0,0.0,0.06019647069843141,0.02867841513127505,0.041811
NDDLJN Index,Japan,EQ Japan,Equities,ME,0.04621264819677492,0.08952752733942396,0.163198400459765,0.6763077487141363,0.0,0.0,0.0406679532734581,0.01250859929623047,0.041811
M1APJ Index,Asia ex-Japan,EQ AC Asia xJP,Equities,ME,0.05162694864550985,0.1126482188145057,0.2012868357921888,0.6499366914734923,0.0,0.0,0.04411155404627064,0.007220567144646383,0.041811
M1EFZ Index,EM ex-Asia,EQ EM xAsia,Equities,ME,-0.02229557414380126,0.0934140931811335,0.1722738487559183,0.6739530841701091,0.0,0.0,0.05863352132903013,0.02407378441574795,0.041811
MP503001 Index,Private Equity,PE MSCI,Alternatives,QE,0.03252659991580874,0.07536992483804661,0.1191061610889271,0.6437590299233535,1.0,0.5,0.03690325194706599,0.0,0.041811
MP503008 Index,Private Credit,PC MSCI,Alternatives,QE,0.02473079695363884,0.04775813630337806,0.07262782007101887,0.6624825890508216,0.5,0.5,0.0213398316133468,0.0,0.041811
MP503009 Index,Real Estate,PE Real Estate,Alternatives,QE,-0.01629287878730619,0.07098963374039044,0.1053906448979035,0.6022222302837885,0.0,0.0,0.02669132236316528,0.0,0.041811
EHFI804 Index,Insurance-Linked,ILS Eureka,Alternatives,QE,0.03579505097637995,0.04333088964481956,0.048479391324581,0.1644108200950306,1.0,1.0,0.00266149724694402,0.0,0.041811
HFRIFWI Index,Hedge Funds,HF HFRI,Alternatives,ME,0.02059079189422011,0.02625410014639213,0.06118313254232682,0.7902855856310818,1.0,1.0,0.01398832292879831,0.0,0.041811
BCOMGCTR Index,Gold,Gold USD,Alternatives,ME,0.1082568388051859,0.1487201353097705,0.1767102754886155,0.3242027802811206,0.25,0.25,0.01574212613038852,0.0,0.041811
