,Equity,Rates,Credit,Credit EM,Carry G10,Carry EM,Inflation,Commodities,Private Equity,Rates Vol,Fx
LGTRTRUH Index,0.01819672701409903,0.6770043207483112,1.632744630156337e-06,1.512231498939389e-06,1.493949740558615e-06,1.708563956511759e-06,-3.753539617318533e-06,-3.10172605673387e-19,-8.97767374495434e-19,-3.881275363192858e-06,-1.369461828652756e-06
LGCPTRUH Index,0.008466419712126003,0.1804170137965418,0.2000001212946239,0.6706781093310946,1.014180570249675e-06,1.069353414047129e-06,1.220655585844393e-06,0.01214687705386133,-5.557088691519921e-20,-1.885008872771338e-06,-4.321805853897686e-06
H23059US Index,0.07573333725062871,4.608901908260415e-05,0.4852467827424416,0.3834009262704687,1.789644131248123e-06,1.134405155090956e-06,3.278436319894752e-06,0.03257368322856382,-3.845079037078595e-19,-3.021762199550636e-06,-4.540594824578369e-06
H04386US Index,0.05919860335355952,0.01283388611913844,4.970611836299011e-06,1.0875950316196,1.329478929735305e-06,1.212128714461913e-06,1.82293893409575e-06,0.02816133555557805,-2.816099591896216e-19,-2.026281013997599e-06,-3.937802703200414e-06
LF94TRUH Index,0.09813807506825717,0.5718005165456507,1.888083775550953e-06,3.408820236811905e-06,1.483078962513562e-06,1.530544280356334e-06,-4.491982027930527e-07,-4.526866611444929e-18,-3.338890455219654e-18,-4.722392251023853e-06,-3.109962787918541e-06
NDDUUS Index,0.9780934961924845,0.0377716581991191,5.758542249248156e-06,0.119249036883219,0.01334691229756303,1.033987526255166e-06,3.198839583906215e-06,0.02804162789703721,-1.990454400604193e-18,-2.175853348324589e-06,-1.083968438668867e-06
MSDEXKSN Index,0.6289381875181477,4.01664303813088e-05,5.154717769545721e-06,0.6386154935408591,5.117908323272617e-06,0.2617294851528344,9.84451456100458e-06,1.108789818102267e-05,1.572869491228804e-18,-0.2307767812958242,-0.7761527730954678
NDDLUK Index,0.4205102140827792,0.02545087847819298,2.609642306826115e-06,0.6184121302431375,4.703233262753359e-06,0.2103377030957487,7.85914734164001e-06,0.1478379123929843,2.533754131349576e-18,-0.2079810322724137,-0.5400044838085541
NDDLSZ Index,0.4241978171557254,0.2645058306053319,6.979618180836899e-07,0.7900437412843035,7.795717929358962e-07,0.2488369145922748,8.098753245610948e-07,2.008284935624976e-07,3.181119817947162e-18,-0.2810406594477832,-0.6084916828383219
NDDLJN Index,0.6578638624442812,0.1297056598822592,6.882747401769595e-07,0.340548618589405,3.503892682994593e-06,5.040645286148571e-06,5.376301615496204e-07,3.20518639990802e-07,6.918466240882057e-19,-0.3397490256063564,-0.4059417942295184
M1APJ Index,0.8337765565674672,0.02393748825654006,5.847148162913177e-07,0.456949238501129,0.005633285466476882,5.211489836919303e-06,8.794483674275106e-07,0.03666231296506365,1.13197312101283e-18,-0.3153738787716171,-0.4401325792735057
M1EFZ Index,0.4458015192054496,1.665714707510444e-06,6.488548253955519e-06,0.4818037663157937,3.745849614900734e-06,0.5107258202228343,1.144642833351918e-05,0.2950481796308995,1.048493267596654e-18,-0.2712716785035594,-0.7325748320713903
MP503001 Index,0.3494659790130656,0.2696439451438302,4.458408031201768e-07,0.1755797467157452,4.814834344078821e-07,1.597652765103631e-07,0.4200988909761182,0.06185516902595024,0.4602122985474651,-2.166198378032057e-07,-0.287033938373269
MP503008 Index,0.03498798546083146,1.871091357888911e-06,0.2115753478630384,0.2868306033189739,0.02102893814037216,4.481822899416812e-07,0.427468438387279,0.09129003716641011,0.2389309698085872,-1.955188220642002e-07,-0.269691529855117
MP503009 Index,0.2466561086853577,0.3356664792883213,5.954295659681933e-07,0.4024870723213713,5.747545413681275e-07,1.398321145947285e-07,0.8550172624623581,0.06854316989997285,2.627106819519702e-07,-2.475354517145519e-07,-0.08335998058218384
EHFI804 Index,0.07868220547014405,0.1254087273393375,6.991347483046743e-07,2.901746655996632e-07,2.595534839363503e-06,2.165976563312103e-07,1.50906197077991e-19,0.01803913807307899,-7.295077762079487e-21,-0.1781395417518916,-4.994332880485208e-07
HFRIFWI Index,0.3073306451893463,-0.0198891715503956,5.946565297000023e-06,0.1134334090381818,0.005830026881637955,3.35057321148993e-06,3.480556924619106e-06,0.04479489623049734,-7.169353620668871e-19,-0.04323039675369721,-0.03440198786373719
BCOMGCTR Index,3.051777052728529e-07,0.6336926463982115,2.856442034894793e-07,5.486367162683534e-07,1.770980020478839e-05,0.565833285410069,5.318332148046359e-07,0.2068919879548984,1.399370142413738e-18,-0.1742157540495388,-0.9150755902262883
