,Equity,Rates,Credit,Credit EM,Carry G10,Carry EM,Inflation,Commodities,Private Equity,Rates Vol,Fx
Equity,0.02404983131079238,0.001816609184529574,0.00611825846217156,0.003810831535793915,0.002231872764977356,0.0003712653411377088,0.001298224532464541,0.008640184043807442,0.001288278646850237,-0.003294070576691646,-0.004166343748674512
Rates,0.001816609184529574,0.003157470292512262,0.0002331907015593841,0.001779297590172748,-0.0007924122578487368,-0.0004790378813817364,-0.001138671500722915,-0.001313795504556339,-9.98520398938598e-05,-0.0006207444047158648,-0.001528838710201483
Credit,0.00611825846217156,0.0002331907015593841,0.002130563792843689,0.001101854104838848,0.0007225817061588401,0.0002539675583500442,0.0004784552002648122,0.002055344764005612,0.000565894739584906,-0.0008922446420577161,-0.0008903684912711672
Credit EM,0.003810831535793915,0.001779297590172748,0.001101854104838848,0.002115047484899904,-0.0001734584529718733,3.357708173808872e-05,-0.0003445100619544072,0.0004496369789405674,0.0007474211004692075,-0.0007288271418319017,-0.001469705095238408
Carry G10,0.002231872764977356,-0.0007924122578487368,0.0007225817061588401,-0.0001734584529718733,0.002334769416641161,0.0005206561004716164,0.001056039810803562,0.002899466861093935,-2.038531484855775e-05,-0.0002779649948051538,0.001294453442946664
Carry EM,0.0003712653411377088,-0.0004790378813817364,0.0002539675583500442,3.357708173808872e-05,0.0005206561004716164,0.001875236251232208,0.0002917094396585835,0.0006877712546099994,0.0001085125842744833,-0.0001019396549525477,0.0002586524174485997
Inflation,0.001298224532464541,-0.001138671500722915,0.0004784552002648122,-0.0003445100619544072,0.001056039810803562,0.0002917094396585835,0.002024727260920879,0.004224258863655279,0.0002685171201036453,7.835232685917968e-05,0.0003695063875995041
Commodities,0.008640184043807442,-0.001313795504556339,0.002055344764005612,0.0004496369789405674,0.002899466861093935,0.0006877712546099994,0.004224258863655279,0.02584942279456929,-0.0001519965868484849,-0.0008436872829159519,-0.001951398170888394
Private Equity,0.001288278646850237,-9.98520398938598e-05,0.000565894739584906,0.0007474211004692075,-2.038531484855775e-05,0.0001085125842744833,0.0002685171201036453,-0.0001519965868484849,0.004927848455678628,7.601986123008394e-05,0.0001095521181322303
Rates Vol,-0.003294070576691646,-0.0006207444047158648,-0.0008922446420577161,-0.0007288271418319017,-0.0002779649948051538,-0.0001019396549525477,7.835232685917968e-05,-0.0008436872829159519,7.601986123008394e-05,0.002703415256637278,0.0005924572349473683
Fx,-0.004166343748674512,-0.001528838710201483,-0.0008903684912711672,-0.001469705095238408,0.001294453442946664,0.0002586524174485997,0.0003695063875995041,-0.001951398170888394,0.0001095521181322303,0.0005924572349473683,0.004690947852087611
