,base,stress,upside
Equity,0.0381985971031048,-0.03840420101502218,0.03082413824667816
Rates,0.0100370723146227,-0.03823428396077821,0.001008515319628689
Credit,0.014205858,-0.001261130863169191,0.01465021219854123
Credit EM,0.016356,-0.02159221066583683,0.005706264227673818
Carry G10,0.01019743801418909,-0.004200698527695557,0.0006548418513098398
Carry EM,0.01171710520432639,0.02624880707769499,0.008894931118201254
Inflation,0.006728394592017756,0.01624983940359361,-0.003361113325203258
Commodities,0.02282216069071501,0.02699800373615964,-0.02003739784604972
Private Equity,0.02985068709377168,-0.01012438094076873,0.01510694509070123
Rates Vol,0.01130869011903033,0.01078334565805901,-0.00261297690459652
Fx,0.0,0.02349439369931385,-0.001206717830026971
