ticker,sleeve,name,asset_class,frequency,alpha,resid_vol,total_vol,r2,w_workbook,factor_excess_cma,rf_rate,w_paper,equity_regional_addon,pe_factor_exposure,long_only_betas
LGTRTRUH Index,Global Government,Govt Global USD,Bonds,ME,-0.002704911585205711,0.00996180827952538,0.03653249151640876,0.925582664623642,0.0,0.006967093659630306,0.041811,0.0,0.0,False,True
LGCPTRUH Index,Global IG Bonds,IG Corp Global USD,Bonds,ME,-0.008933704174050209,0.02276839185983268,0.05519358248988989,0.8077386040149295,0.0,0.01790236906196592,0.041811,0.0,0.0,False,True
H23059US Index,Global HY Bonds,HY Global USD,Bonds,ME,-0.01467216215247791,0.02539447418065776,0.05648715678504529,0.7815884711683343,0.0,0.03107446757705877,0.041811,0.0,0.0,False,True
H04386US Index,EM HC Bonds,EM Bonds HC USD,Bonds,ME,0.003657831371613036,0.02227648990138989,0.06680541364890832,0.8690268104658186,0.0,0.02275164372735876,0.041811,0.0,0.0,False,True
LF94TRUH Index,Global Inflation-Linked,IL Bonds Global USD,Bonds,ME,-0.007244516103199194,0.02856612475372741,0.05609112265889608,0.7349924778304613,0.0,0.01062515417724931,0.041811,0.0,0.0,False,True
NDDUUS Index,US,EQ US,Equities,ME,0.01911130782963021,0.04216307713022213,0.1627642249020734,0.9148988805862063,0.0,0.04092764310430181,0.041811,0.0,0.0005591407297065898,False,True
MSDEXKSN Index,Europe ex-UK,EQ EU xUK xSwiss,Equities,ME,0.02706659802453032,0.07056105285418195,0.1698134632665485,0.8138757335304725,0.0,0.05460391668803604,0.041811,0.0,0.01945721383949982,False,True
NDDLUK Index,UK,EQ UK,Equities,ME,0.03756001925227737,0.07535864955143548,0.1433553897746731,0.692000939333193,0.0,0.0637297719700246,0.041811,0.0,0.0336271733455369,False,True
NDDLSZ Index,Switzerland,EQ Swiss MSCI,Equities,ME,0.0443162601201024,0.080933324112675,0.1559677477289289,0.7233372817006858,0.0,0.07155843990882176,0.041811,0.0,0.03574808341221279,False,True
NDDLJN Index,Japan,EQ Japan,Equities,ME,0.04914791770624818,0.09014284641608776,0.1644110685508871,0.6738208175947124,0.0,0.04049084173087109,0.041811,0.0,0.01190310617880341,False,True
M1APJ Index,Asia ex-Japan,EQ AC Asia xJP,Equities,ME,0.04893156183924229,0.112952632509985,0.2036171034066539,0.6477720198276458,0.0,0.04329167644469487,0.041811,0.0,0.005775014996270113,False,True
M1EFZ Index,EM ex-Asia,EQ EM xAsia,Equities,ME,-0.02058862285812397,0.09370547159736552,0.1730206528965278,0.6718970738733334,0.0,0.05839297686076809,0.041811,0.0,0.02403192179377214,False,True
MP503001 Index,Private Equity,PE MSCI,Alternatives,QE,0.03540709404350002,0.07622060801535391,0.1177113038082037,0.628617810246217,1.0,0.03614827287294371,0.041811,0.5,0.0,True,True
MP503008 Index,Private Credit,PC MSCI,Alternatives,QE,0.0209208796937638,0.05525222650429361,0.08380955848583313,0.6471444588723774,0.5,0.02279895039631212,0.041811,0.5,0.0,True,True
MP503009 Index,Real Estate,PE Real Estate,Alternatives,QE,-0.01864450915300456,0.0748579894183681,0.1114487343348806,0.598291730203083,0.0,0.02793113770856186,0.041811,0.0,0.0,True,True
EHFI804 Index,Insurance-Linked,ILS Eureka,Alternatives,QE,0.03443159220574608,0.04978685319391051,0.05530769996472693,0.1455681270535062,1.0,0.003377764773753247,0.041811,1.0,0.0,False,True
HFRIFWI Index,Hedge Funds,HF HFRI,Alternatives,ME,0.01684395000750828,0.02627227527385775,0.0643822565496062,0.7899278308315811,1.0,0.01464795224093607,0.041811,1.0,0.0,False,False
BCOMGCTR Index,Gold,Gold USD,Alternatives,ME,0.108048201115816,0.1487044009050258,0.1786820145720993,0.3233020598529857,0.25,0.01571284571531072,0.041811,0.25,0.0,False,False
