,Equity,Rates,Credit IG US,Credit HY US,Credit EM,Carry G10,Carry EM,Inflation,Commodities,Private Equity,Rates Vol,Fx
LGTRTRUH Index,0.0233913792889654,0.6045080389612444,0.0003616419544617357,0.0001192761761882723,7.86166996960534e-05,8.522845613923083e-05,9.305084203625821e-05,-6.360169013946358e-05,0.0,0.0,-0.0002317402943834788,-7.432849725760805e-05
LGCPTRUH Index,0.002378202523742595,0.0003062014734548953,0.0001185520755783174,0.0001168317856821046,1.068110024795967,6.962817805036341e-05,5.087668955568486e-05,9.611308597496054e-05,0.01460444576712337,0.0,-8.334885744369607e-05,-9.201094734922379e-05
H23059US Index,0.0002118131134817748,0.172163225836669,9.296385451908083e-05,0.9993114606003788,0.03622459360746894,8.179113247595766e-05,8.36793899726347e-05,0.0001054929848632628,0.02100731125170099,0.0,-0.0001508222265881671,-0.0004633899750122222
H04386US Index,0.01639976219249926,7.70693357536674e-05,0.0001454495992611521,0.0001698898969079025,1.303374528730185,9.835041613716416e-05,6.233001957260155e-05,0.00017352314904471,0.03499714369198494,0.0,-8.83685269991757e-05,-8.208019819054555e-05
LF94TRUH Index,0.06937351336654196,0.7934712132475789,0.0006299615176821333,0.0001568688446689967,7.695251146880592e-05,0.0001353595602205263,0.0001018172079511241,-3.039919363205987e-05,0.0,0.0,-0.0001228529984404672,-6.646409297839491e-05
NDDUUS Index,0.9831688011340013,0.04788427725075217,0.0002984103570371324,0.0001916669658572367,0.09866738755943891,0.009188597069055119,6.229467361571774e-05,0.0001657205789823343,0.02702129772687384,0.0,-0.0001161849635477742,-5.853892981662227e-05
MSDEXKSN Index,0.6338384342892575,0.0001663572565018629,0.0002296963869929995,0.000191681839860923,0.6449151538433565,0.0002803014111021519,0.2522431130198886,0.002003384238201514,0.0002317952209952539,0.0,-0.2298359870081349,-0.7662469586685512
NDDLUK Index,0.4165112598177803,0.0002099265381662111,0.0001198455531102865,0.0001343819978924057,0.6649525884503088,0.0002867274273684049,0.2054141220028199,0.001816333135875614,0.1416415678488944,0.0,-0.2073470372039269,-0.5302520998063797
NDDLSZ Index,0.2822537658713299,0.0005471782455597407,4.919526326763433e-05,3.845151907863336e-05,1.588076298859562,5.168647138382133e-05,0.1745738593723779,6.91814230791096e-05,1.271594097468143e-05,0.0,-0.2652492945612469,-0.544114978440067
NDDLJN Index,0.6744253551907549,0.1703331244719316,4.535822676340393e-05,3.663878503327216e-05,0.2951239065110334,0.0001948029809085664,0.0003295095672766301,3.081986774145922e-05,1.761838933993874e-05,0.0,-0.3288504568734361,-0.3852631292774689
M1APJ Index,0.8670543657687231,0.03579696980557046,3.570573302460556e-05,3.058545800769386e-05,0.3984060596663287,0.002803111890246734,0.0003414677026363925,4.689916701132971e-05,0.03232858105252887,0.0,-0.2874822594485747,-0.4333581749803355
M1EFZ Index,0.4467652314785353,7.043809530812224e-05,0.0001783410178293712,0.0003238572259414062,0.4871422717537656,0.0002408520913243502,0.4941798938501599,0.003113816618196613,0.2817513025125503,0.0,-0.2588712317167566,-0.7316388809890945
MP503001 Index,0.3085996186815646,0.2285259832409451,3.445065167544621e-05,2.668704755152642e-05,0.2505018560298433,2.739554677140575e-05,8.456740088020487e-06,0.4391833761566704,0.05698396440170142,0.4593704710814719,-1.176680627853204e-05,-0.3102129114511782
MP503008 Index,0.01068528079671432,3.086596278271005e-05,0.3217319063727022,0.0002586904493568948,0.3411780970327474,0.08851782974571218,3.618445613366741e-05,0.49567542878362,0.09620790085711335,0.2724237210124519,-1.032420509398492e-05,-0.3061080648135145
MP503009 Index,0.2632502196379312,0.2697486836096863,3.048482500154003e-05,1.772383948798064e-05,0.4771120259423935,2.952603912569493e-05,7.854047677661508e-06,0.8481926252943205,0.07255375563542153,1.530588093703228e-05,-1.362999558762216e-05,-0.0804721684261335
EHFI804 Index,0.09719159878381348,0.1203409863922562,4.078924047725847e-05,2.621956294813848e-05,1.338706409519999e-05,4.651755179954807e-05,1.041811646659723e-05,0.0,0.0180513320647365,0.0,-0.1730085558839795,-2.205001254309064e-05
HFRIFWI Index,0.3436649703711728,-0.02269999592136326,0.0001566399568626723,0.0001734047219512901,0.06449572562346331,0.00274825920223616,0.000216698427536819,0.0001545224784334002,0.04054281960891051,0.0,-0.02383040059099425,-0.02933951438992451
BCOMGCTR Index,1.649664388536076e-05,0.597759937175297,1.853181208465018e-05,1.654561741168742e-05,3.123912402332419e-05,0.03815281275107965,0.5764199063426703,3.08053510902603e-05,0.1928664038823919,0.0,-0.1621337994730558,-0.9860608725472265
