ticker,sleeve,name,asset_class,frequency,alpha,resid_vol,total_vol,r2,w_workbook,factor_excess_cma,rf_rate,w_paper,equity_regional_addon,pe_factor_exposure,long_only_betas,dm_ig_prior_eligible
LGTRTRUH Index,Global Government,Govt Global USD,Bonds,ME,-0.004034514959566781,0.009880254761503471,0.03599269235398475,0.9267961297011746,0.0,0.006805964652360251,0.041811,0.0,0.0,False,True,False
LGCPTRUH Index,Global IG Bonds,IG Corp Global USD,Bonds,ME,-0.0319662084425508,0.02594882504865011,0.06240208899883219,0.7502745682519082,0.0,0.0118289488683178,0.041811,0.0,0.0,False,True,True
H23059US Index,Global HY Bonds,HY Global USD,Bonds,ME,-0.01467832656813056,0.0253953998302314,0.05649686986387618,0.7815725483166318,0.0,0.0310723824337338,0.041811,0.0,0.0,False,True,False
H04386US Index,EM HC Bonds,EM Bonds HC USD,Bonds,ME,0.003699141958840094,0.02228646524955537,0.06677676626469045,0.8689094853669441,0.0,0.02272841291210041,0.041811,0.0,0.0,False,True,False
LF94TRUH Index,Global Inflation-Linked,IL Bonds Global USD,Bonds,ME,-0.01135493478958181,0.02825828561796396,0.05483135108033067,0.740673340799652,0.0,0.01016855954523081,0.041811,0.0,0.0,False,True,False
NDDUUS Index,US,EQ US,Equities,ME,0.01910459400925388,0.04215702956082073,0.1627668441614062,0.9149232914239162,0.0,0.04094091925842825,0.041811,0.0,0.0005636678730840869,False,True,False
MSDEXKSN Index,Europe ex-UK,EQ EU xUK xSwiss,Equities,ME,0.02707472429933657,0.07055882651783389,0.1698123250631675,0.8138874784992837,0.0,0.05461796037092474,0.041811,0.0,0.01946592217907385,False,True,False
NDDLUK Index,UK,EQ UK,Equities,ME,0.03757156828592485,0.0753575684140338,0.1433500672682391,0.6920097767239245,0.0,0.06373744417456706,0.041811,0.0,0.03363277071485353,False,True,False
NDDLSZ Index,Switzerland,EQ Swiss MSCI,Equities,ME,0.04431838791736042,0.08093236669433956,0.1559664494804691,0.7233438273453976,0.0,0.07155828415781595,0.041811,0.0,0.03574780349116524,False,True,False
NDDLJN Index,Japan,EQ Japan,Equities,ME,0.04914642949338357,0.09014103109571218,0.1644112525072094,0.6738339548269459,0.0,0.04049208104115595,0.041811,0.0,0.01190307282114665,False,True,False
M1APJ Index,Asia ex-Japan,EQ AC Asia xJP,Equities,ME,0.04892566996483477,0.1129518308609941,0.2036192137810599,0.6477770194845218,0.0,0.04329545620210411,0.041811,0.0,0.00577603404046211,False,True,False
M1EFZ Index,EM ex-Asia,EQ EM xAsia,Equities,ME,-0.02056819290475783,0.09370404892003104,0.1730105456116607,0.6719070366011219,0.0,0.05840425922312713,0.041811,0.0,0.02403938295262573,False,True,False
MP503001 Index,Private Equity,PE MSCI,Alternatives,QE,0.03540709404350002,0.07622060801535391,0.1177113038082037,0.628617810246217,1.0,0.03614827287294371,0.041811,0.5,0.0,True,True,False
MP503008 Index,Private Credit,PC MSCI,Alternatives,QE,0.0209208796937638,0.05525222650429361,0.08380955848583313,0.6471444588723774,0.5,0.02279895039631212,0.041811,0.5,0.0,True,True,False
MP503009 Index,Real Estate,PE Real Estate,Alternatives,QE,-0.01864450915300456,0.0748579894183681,0.1114487343348806,0.598291730203083,0.0,0.02793113770856186,0.041811,0.0,0.0,True,True,False
EHFI804 Index,Insurance-Linked,ILS Eureka,Alternatives,QE,0.03443159220574608,0.04978685319391051,0.05530769996472693,0.1455681270535062,1.0,0.003377764773753247,0.041811,1.0,0.0,False,True,False
HFRIFWI Index,Hedge Funds,HF HFRI,Alternatives,ME,0.01684586277113048,0.02627016313913821,0.06438000310082803,0.7899616065805053,1.0,0.01464943520165829,0.041811,1.0,0.0,False,False,False
BCOMGCTR Index,Gold,Gold USD,Alternatives,ME,0.1080486653634067,0.1487049716423126,0.1786818721025089,0.3232968654204722,0.25,0.01571294985792056,0.041811,0.25,0.0,False,False,False
