,Equity,Rates,Credit IG US,Credit HY US,Credit EM,Carry G10,Carry EM,Inflation,Commodities,Private Equity,Rates Vol,Fx
LGTRTRUH Index,0.0115973520048154,0.5964234898848904,0.05385710656919792,0.0001261285717669491,0.0001311258343836501,0.000105894304498819,0.0001262232775732595,-0.000130432537000401,0.0,0.0,-0.0004650353424528509,-0.000123254207159317
LGCPTRUH Index,3.170648742099799e-05,0.4815667214213523,0.9972252808015657,6.143857865304942e-05,0.001332178852139789,6.526869004576606e-05,0.000125287108931664,7.360617993993745e-05,0.001554323891936021,0.0,-0.0001209420702694756,-0.0002936313681743928
H23059US Index,0.0003260119658040719,0.1722376395763163,0.0001289030899095806,0.9992809093991967,0.03582463624237536,0.0001140960417505803,0.0001161543788165009,0.0001447952323261101,0.02099020042583797,0.0,-0.0002058434924690572,-0.0006211536653116352
H04386US Index,0.0158906800673278,0.0001545449605321248,0.001101730031687284,0.0001952043227575786,1.303228518226865,0.0001292576406562397,9.961613022900976e-05,0.0002187480258825247,0.03455055541895078,0.0,-0.0001240557482341741,-0.0001571275159625169
LF94TRUH Index,0.03364061935463312,0.770018584140417,0.1651086954697916,0.0001499814835652159,0.000133644083810606,0.0001536927279102261,0.0001361125175020957,-5.0270731995084e-05,0.0,0.0,-0.0002202793608475112,-0.0001162476660043633
NDDUUS Index,0.983032525512439,0.0479855963995684,0.0004028827850761595,0.0002621824649941731,0.09883459957655784,0.009986382072103103,8.678046789639041e-05,0.0002257343940016535,0.02698407628602824,0.0,-0.0001599409376966948,-8.246158192999685e-05
MSDEXKSN Index,0.6336745537213883,0.0002326839466846637,0.0003128955176431645,0.0002615930761613399,0.645213724011365,0.0003717513423671607,0.2521134062405523,0.002549214759418017,0.0002997714204699085,0.0,-0.2299373592683718,-0.7662022385599683
NDDLUK Index,0.4164141359252267,0.0002901779666487274,0.0001666515537246905,0.0001860086682131025,0.6650533671072049,0.0003825993158177734,0.2053723403338951,0.002314394416621271,0.141547940127297,0.0,-0.2073609320568192,-0.5302986519701569
NDDLSZ Index,0.2822593860964878,0.000733531340225929,6.926314279241384e-05,5.410512630396816e-05,1.587882621299707,7.245945753317951e-05,0.1745836865820502,9.627934957248075e-05,1.782281711184252e-05,0.0,-0.2652494102090543,-0.544096364785147
NDDLJN Index,0.6744262675918618,0.170591782510308,6.387145451845376e-05,5.158138922837915e-05,0.2948819478887999,0.0002617825480866764,0.000437474409481257,4.333378112215603e-05,2.468542249720858e-05,0.0,-0.3288633485580048,-0.3852724418111023
M1APJ Index,0.8670309065263657,0.03587932189255443,5.019177557279188e-05,4.297648312125058e-05,0.3982922972335717,0.003178191738491958,0.000452976342084745,6.564943868267743e-05,0.03229551771700331,0.0,-0.2875055375624176,-0.4334782586512128
M1EFZ Index,0.4465934694144487,9.971788527062e-05,0.0002444356621071908,0.0004362275531047064,0.4874528510390482,0.0003232482301965725,0.4940567558009122,0.003958853863387304,0.2815914839550558,0.0,-0.2588769881329405,-0.731695148936089
MP503001 Index,0.3085996186815646,0.2285259832409451,3.445065167544621e-05,2.668704755152642e-05,0.2505018560298433,2.739554677140575e-05,8.456740088020487e-06,0.4391833761566704,0.05698396440170142,0.4593704710814719,-1.176680627853204e-05,-0.3102129114511782
MP503008 Index,0.01068528079671432,3.086596278271005e-05,0.3217319063727022,0.0002586904493568948,0.3411780970327474,0.08851782974571218,3.618445613366741e-05,0.49567542878362,0.09620790085711335,0.2724237210124519,-1.032420509398492e-05,-0.3061080648135145
MP503009 Index,0.2632502196379312,0.2697486836096863,3.048482500154003e-05,1.772383948798064e-05,0.4771120259423935,2.952603912569493e-05,7.854047677661508e-06,0.8481926252943205,0.07255375563542153,1.530588093703228e-05,-1.362999558762216e-05,-0.0804721684261335
EHFI804 Index,0.09719159878381348,0.1203409863922562,4.078924047725847e-05,2.621956294813848e-05,1.338706409519999e-05,4.651755179954807e-05,1.041811646659723e-05,0.0,0.0180513320647365,0.0,-0.1730085558839795,-2.205001254309064e-05
HFRIFWI Index,0.3435252194825205,-0.022758152292542,0.000215255847911394,0.0002372097775424132,0.06463970575374442,0.003127433913271005,0.0002900179222358446,0.0002097222286614331,0.04050215542697828,0.0,-0.02394812391544089,-0.0295212276999779
BCOMGCTR Index,2.311153600617517e-05,0.5977152669885761,2.60166326505753e-05,2.321076605582832e-05,4.393413597791932e-05,0.03822934511174461,0.5763642820436918,4.332080528671474e-05,0.1928527210306948,0.0,-0.1621381322045241,-0.9860783942802132
