,Equity,Rates,Credit IG US,Credit HY US,Credit EM,Carry G10,Carry EM,Inflation,Commodities,Private Equity,Rates Vol,Fx
Equity,0.0239823085758525,0.001773302727727235,0.006081299843861404,0.006208304811467348,0.003867986736330406,0.002527845565506682,0.0005833809748790158,0.00149822270349498,0.00933541955409274,0.001099065145842222,-0.00343018329346235,-0.004109570533826932
Rates,0.001773302727727235,0.003205372656209923,0.0002283596734249667,0.0002356319954462233,0.001805980018587615,-0.0007699469208588434,-0.0004709945392366951,-0.001100687964232835,-0.001111763040208906,-0.0001120232839338917,-0.0005802984837420355,-0.001569419340576971
Credit IG US,0.006081299843861404,0.0002283596734249667,0.002257630482793189,0.002071171255395921,0.001187779215127641,0.0008208345678052048,0.0002520286383505788,0.0005262205385181025,0.00226704779284707,0.0003683619121000766,-0.0009036353351968854,-0.0008013394484584855
Credit HY US,0.006208304811467348,0.0002356319954462233,0.002071171255395921,0.002171895491259526,0.001082779861921223,0.0007480151149121474,0.0002889909274439289,0.0004935415621557902,0.002090217039563942,0.0006155158455973885,-0.0009355269882563846,-0.0009263579442676655
Credit EM,0.003867986736330406,0.001805980018587615,0.001187779215127641,0.001082779861921223,0.002173890209087375,-0.0001376010388728189,5.082571875439908e-05,-0.0003022498647907472,0.0006324876467162835,0.000754466446246228,-0.000727903570883856,-0.00150805089890566
Carry G10,0.002527845565506682,-0.0007699469208588434,0.0008208345678052048,0.0007480151149121474,-0.0001376010388728189,0.002351198429934477,0.0005026522984636939,0.001028172854184916,0.002730899413263144,3.877577775659701e-05,-0.00032963660884242,0.001306984247546723
Carry EM,0.0005833809748790158,-0.0004709945392366951,0.0002520286383505788,0.0002889909274439289,5.082571875439908e-05,0.0005026522984636939,0.001884426917836236,0.000270670525819691,0.0006131790417772307,0.0001090989377822879,-0.0001072211101665016,0.0001905782303955509
Inflation,0.00149822270349498,-0.001100687964232835,0.0005262205385181025,0.0004935415621557902,-0.0003022498647907472,0.001028172854184916,0.000270670525819691,0.002015872542060944,0.004116653474951849,0.0002949882963626371,2.208393060612033e-05,0.0003417283918069093
Commodities,0.00933541955409274,-0.001111763040208906,0.00226704779284707,0.002090217039563942,0.0006324876467162835,0.002730899413263144,0.0006131790417772307,0.004116653474951849,0.02585373255379868,-5.856571133316595e-05,-0.001082398342147484,-0.00214844039715677
Private Equity,0.001099065145842222,-0.0001120232839338917,0.0003683619121000766,0.0006155158455973885,0.000754466446246228,3.877577775659701e-05,0.0001090989377822879,0.0002949882963626371,-5.856571133316595e-05,0.005022538162312082,8.453623079364534e-05,0.0001308267075737308
Rates Vol,-0.00343018329346235,-0.0005802984837420355,-0.0009036353351968854,-0.0009355269882563846,-0.000727903570883856,-0.00032963660884242,-0.0001072211101665016,2.208393060612033e-05,-0.001082398342147484,8.453623079364534e-05,0.002771222097429965,0.0006323358433704408
Fx,-0.004109570533826932,-0.001569419340576971,-0.0008013394484584855,-0.0009263579442676655,-0.00150805089890566,0.001306984247546723,0.0001905782303955509,0.0003417283918069093,-0.00214844039715677,0.0001308267075737308,0.0006323358433704408,0.004795662342225141
