ticker,sleeve,name,asset_class,frequency,alpha,resid_vol,total_vol,r2,w_workbook,factor_excess_cma,rf_rate,pe_factor_exposure,long_only_betas,FactorPrior1,FactorPrior2,w_paper,equity_regional_addon
LGTRTRUH Index,Global Government,Govt Global USD,Bonds,ME,-0.002431744610806038,0.01004684398188931,0.03590784254378927,0.9243067638622404,0.0,0.006711513488136756,0.041811,False,True,,,0.0,0.0
LGCPTRUH Index,Global IG Bonds,IG Corp Global USD,Bonds,ME,-0.02451879516131587,0.02261062336469123,0.05566368588823685,0.8103938375639471,0.0,0.03095525045362306,0.041811,False,True,Credit IG,,0.0,0.0
H23059US Index,Global HY Bonds,HY Global USD,Bonds,ME,-0.01471365540058761,0.02550877526576808,0.05637982833480663,0.779617896165105,0.0,0.03143195048983016,0.041811,False,True,Credit HY,,0.0,0.0
H04386US Index,EM HC Bonds,EM Bonds HC USD,Bonds,ME,0.003683731578205011,0.02224541656212185,0.06631975282138405,0.869391943026627,0.0,0.02181598784276921,0.041811,False,True,Credit EM,,0.0,0.0
LF94TRUH Index,Global Inflation-Linked,IL Bonds Global USD,Bonds,ME,0.0002852782748154474,0.02246313403535987,0.05764026971999704,0.8361312120603541,0.0,0.01479158434997856,0.041811,False,True,Rates,Inflation,0.0,0.0
NDDUUS Index,US,EQ US,Equities,ME,0.01906494673277914,0.04225873415757137,0.1627280994398152,0.9145122980585257,0.0,0.04074258305740074,0.041811,False,True,,,0.0,0.0005239751699356256
MSDEXKSN Index,Europe ex-UK,EQ EU xUK xSwiss,Equities,ME,0.02715776990606446,0.07062031703721028,0.1698193657430081,0.8135629509286342,0.0,0.05411979766105428,0.041811,False,True,,,0.0,0.0193302317129104
NDDLUK Index,UK,EQ UK,Equities,ME,0.03762006686941453,0.07540193624627625,0.143338999097274,0.6916470027773788,0.0,0.06320676729247394,0.041811,False,True,,,0.0,0.03349014190179005
NDDLSZ Index,Switzerland,EQ Swiss MSCI,Equities,ME,0.04457788206981077,0.08100857617385084,0.1560202425500096,0.7228225587723632,0.0,0.07086592119070009,0.041811,False,True,,,0.0,0.03582609007037631
NDDLJN Index,Japan,EQ Japan,Equities,ME,0.04833030884332754,0.09028841875016938,0.1645848489058462,0.6727664687062478,0.0,0.04038154753341725,0.041811,False,True,,,0.0,0.01176511209113592
M1APJ Index,Asia ex-Japan,EQ AC Asia xJP,Equities,ME,0.0484325652162341,0.1130293609911981,0.2037217356661279,0.647293321869348,0.0,0.04426262321745093,0.041811,False,True,,,0.0,0.006837684319534719
M1EFZ Index,EM ex-Asia,EQ EM xAsia,Equities,ME,-0.02007918863376276,0.09384156661777561,0.1729301792536494,0.6709433280539558,0.0,0.06347779671457787,0.041811,False,True,,,0.0,0.02944740894320085
MP503001 Index,Private Equity,PE MSCI,Alternatives,QE,0.03543239247589614,0.07619237400838369,0.1176374636335186,0.6285069633518985,0.5,0.03826841150753343,0.041811,True,True,,,0.5,0.0
MP503008 Index,Private Credit,PC MSCI,Alternatives,QE,0.02101497733856067,0.0549279074455946,0.08343160904754172,0.6482176786377962,0.5,0.031810652087593,0.041811,True,True,,,0.5,0.0
MP503009 Index,Real Estate,PE Real Estate,Alternatives,QE,-0.01870354761694868,0.07518540600173204,0.1117563412161369,0.5972303031266009,0.0,0.02772599452759114,0.041811,True,True,,,0.0,0.0
EHFI804 Index,Insurance-Linked,ILS Eureka,Alternatives,QE,0.03454342023670174,0.04976501041460173,0.05526703986111245,0.1458296995361805,1.0,0.003332206779047429,0.041811,False,True,,,1.0,0.0
HFRIFWI Index,Hedge Funds,HF HFRI,Alternatives,ME,0.01693147827143912,0.02631519494808545,0.06433450666432404,0.7892409018429488,1.0,0.01459100272600591,0.041811,False,False,,,1.0,0.0
BCOMGCTR Index,Gold,Gold USD,Alternatives,ME,0.1084351358183674,0.1487156253908019,0.1786039496361305,0.3231998991499775,0.25,0.01554679009227621,0.041811,False,False,,,0.25,0.0
