,Equity,Rates,Credit IG,Credit HY,Credit EM,Carry G10,Carry EM,Inflation,Commodities,Private Equity,Rates Vol,Fx
LGTRTRUH Index,0.01898422721655865,0.5962033381649477,0.0001387195589495548,5.300299177789101e-05,5.676954161731251e-05,3.645915626686597e-05,4.452882826156836e-05,-4.051188391524467e-05,0.0,0.0,-0.0004868260957225037,-4.642006548550019e-05
LGCPTRUH Index,2.300836996292574e-05,0.4337964153603904,0.7757505864149205,3.25187516460994e-05,0.1236608313888028,2.62716676602051e-05,4.319403504048906e-05,3.133317625035461e-05,0.005805129723318377,0.0,-5.057473108189558e-05,-0.0001306113088854044
H23059US Index,0.0001438185158582807,0.167402418529885,4.859784358545497e-05,0.9993415532456629,0.03511165189349858,4.183344128838068e-05,4.269365504374641e-05,5.29029650429828e-05,0.02004691734918239,0.0,-7.557677887416911e-05,-0.0002347258616151029
H04386US Index,0.0182249527433082,6.453816003482129e-05,7.652571655006203e-05,7.712090382505859e-05,1.2900525386684,4.662246957469523e-05,3.677065105869436e-05,7.638757882606078e-05,0.03337768211030853,0.0,-4.80458448679106e-05,-6.564089514392666e-05
LF94TRUH Index,0.01607899633593493,1.022752912005473,0.000122410695075509,4.857134993365883e-05,5.577665678606988e-05,3.915561304402799e-05,4.070804166975763e-05,0.5805966019978003,0.0,0.0,-0.0001765421630574987,-3.066516572133247e-05
NDDUUS Index,0.9842289323477076,0.04330767402990189,0.000148166555988214,9.775462074751897e-05,0.09801314092242788,0.002466640835885396,3.256934221607661e-05,8.35890721824122e-05,0.02652335417389297,0.0,-6.159292889817462e-05,-3.120518410414383e-05
MSDEXKSN Index,0.6362508833916147,8.00594530805572e-05,0.0001147068759519289,9.658773725815756e-05,0.6424217486263096,0.0001338401008880911,0.2459225825074429,0.0007375176856864099,0.0001280045800166296,0.0,-0.2254250206923435,-0.7636679397363136
NDDLUK Index,0.4189225670008767,9.86990714993738e-05,6.19022424883329e-05,6.911046220223575e-05,0.6611909340613363,0.0001381353489787887,0.2005885449235366,0.0006794780740424409,0.1410390674930745,0.0,-0.2032091555564013,-0.5288512257036538
NDDLSZ Index,0.2807356501327756,0.0002285301784601368,2.620680372245643e-05,2.050857540879715e-05,1.601310785773636,2.746384475776108e-05,0.1692964293090821,3.749105470316885e-05,6.804130768420416e-06,0.0,-0.2595491413714431,-0.5402137313251599
NDDLJN Index,0.6782290899069598,0.1590477930842723,2.380736161706356e-05,1.925438931671637e-05,0.2992225631175285,8.735844019497558e-05,0.0001511331296751489,1.605835786244246e-05,9.142936088444174e-06,0.0,-0.3196223144146725,-0.383466138955465
M1APJ Index,0.8720547120475103,0.03525050883073684,1.8901103310308e-05,1.619608584812536e-05,0.3918309515324888,0.0007374827498223148,0.0001584029143894998,2.456853670112067e-05,0.0310837967974817,0.0,-0.2780704094152019,-0.4300495892956351
M1EFZ Index,0.4489863759974035,3.646600919667018e-05,9.023257423199003e-05,0.0001608994811295869,0.4862019144688184,0.0001181150898301517,0.4816256806753344,0.001159372894674077,0.2811063992735371,0.0,-0.2535797744232031,-0.7286031062526583
MP503001 Index,0.3078855159841147,0.2262620417738598,4.005228111645077e-05,3.110615542411495e-05,0.2518893723891629,3.187847890657617e-05,9.895212715775826e-06,0.4381397855929405,0.05691688285461635,0.4599318008948385,-1.371732012210644e-05,-0.3108626835083719
MP503008 Index,0.009771528177038503,3.659955969079381e-05,0.3221104394664231,0.0003494921136593849,0.3393359433562895,0.08673449010157751,4.821196197819506e-05,0.4944493167312677,0.09597015239408005,0.2726500836194193,-1.207557684068931e-05,-0.3058768563182974
MP503009 Index,0.2625791329343728,0.2653243766351946,3.495035558425676e-05,2.03920255229301e-05,0.4855235011053392,3.501594578475535e-05,9.164771443460686e-06,0.8486286601095988,0.07272211115053621,1.781646070229449e-05,-1.592768285190172e-05,-0.08058459343787655
EHFI804 Index,0.09599511429261283,0.1205964884291816,4.975075494202243e-05,3.182812061019777e-05,1.573959867418015e-05,6.223785989674544e-05,1.211794052483442e-05,0.0,0.01877822986575226,0.0,-0.1748712439419053,-2.612544157019155e-05
HFRIFWI Index,0.3446584226620643,-0.02077406380721896,8.050523560828177e-05,8.894699323403363e-05,0.0613496008734049,0.00080196360153884,0.0001033629396995168,7.871461210110233e-05,0.03957766367325018,0.0,-0.02239113419879706,-0.02859456756203105
BCOMGCTR Index,8.810654590587001e-06,0.5924406108034754,9.844620153554124e-06,8.79785557271121e-06,1.680129433424933e-05,0.03452446015683738,0.569375205237234,1.628227971467255e-05,0.1927427375663588,0.0,-0.1612376660886582,-0.9873625580902643
