,base,stress,upside
Equity,0.03820192738782253,-0.03839441147086146,0.03082004098072835
Rates,0.01003744865803164,-0.03822870963185736,0.001002104752642818
Credit IG,0.03160224172755973,-0.0003576004772857466,0.01463456274297532
Credit HY,0.02875169653321142,-0.001580828021797886,0.01432195464885147
Credit EM,0.01577598492618804,-0.02159221056399292,0.005706264220429746
Carry G10,0.01019744938763189,-0.004200698537497649,0.0006548418541341139
Carry EM,0.01171710655193524,0.02624880708419921,0.008894931119044802
Inflation,0.00672839131527838,0.01624983929853876,-0.003361113317610953
Commodities,0.02282212599055314,0.0269980033772943,-0.0200373977696215
Private Equity,0.03481452812362053,-0.01013217825346977,0.01510497773156145
Rates Vol,0.01130857230232258,0.01078334538718297,-0.002612976874572937
Fx,0.0,0.02349547987207892,-0.001206577287977195
