,60/40,BTC,ETH,HFs,PE,RealEstate,Macro,SG CTA,Commodities,Gold
1997-12-31,,,,524.76,,,,,,
1998-01-01,,,,524.76,,,,,,
1998-01-02,,,,524.76,,,,,,
1998-01-05,,,,524.76,,,,,,
1998-01-06,,,,524.76,,,,,,
1998-01-07,,,,524.76,,,,,,
1998-01-08,,,,524.76,,,,,,
1998-01-09,,,,524.76,,,,,,
1998-01-12,,,,524.76,,,,,,
1998-01-13,,,,524.76,,,,,,
1998-01-14,,,,524.76,,,,,,
1998-01-15,,,,524.76,,,,,,
1998-01-16,,,,524.76,,,,,,
1998-01-19,,,,524.76,,,,,,
1998-01-20,,,,524.76,,,,,,
1998-01-21,,,,524.76,,,,,,
1998-01-22,,,,524.76,,,,,,
1998-01-23,,,,524.76,,,,,,
1998-01-26,,,,524.76,,,,,,
1998-01-27,,,,524.76,,,,,,
1998-01-28,,,,524.76,,,,,,
1998-01-29,,,,524.76,,,,,,
1998-01-30,,,,522.35,,,,,,
1998-02-02,,,,522.35,,,,,,
1998-02-03,,,,522.35,,,,,,
1998-02-04,,,,522.35,,,,,,
1998-02-05,,,,522.35,,,,,,
1998-02-06,,,,522.35,,,,,,
1998-02-09,,,,522.35,,,,,,
1998-02-10,,,,522.35,,,,,,
1998-02-11,,,,522.35,,,,,,
1998-02-12,,,,522.35,,,,,,
1998-02-13,,,,522.35,,,,,,
1998-02-16,,,,522.35,,,,,,
1998-02-17,,,,522.35,,,,,,
1998-02-18,,,,522.35,,,,,,
1998-02-19,,,,522.35,,,,,,
1998-02-20,,,,522.35,,,,,,
1998-02-23,,,,522.35,,,,,,
1998-02-24,,,,522.35,,,,,,
1998-02-25,,,,522.35,,,,,,
1998-02-26,,,,522.35,,,,,,
1998-02-27,,,,530.13,,,,,,
1998-03-02,,,,530.13,,,,,,
1998-03-03,,,,530.13,,,,,,
1998-03-04,,,,530.13,,,,,,
1998-03-05,,,,530.13,,,,,,
1998-03-06,,,,530.13,,,,,,
1998-03-09,,,,530.13,,,,,,
1998-03-10,,,,530.13,,,,,,
1998-03-11,,,,530.13,,,,,,
1998-03-12,,,,530.13,,,,,,
1998-03-13,,,,530.13,,,,,,
1998-03-16,,,,530.13,,,,,,
1998-03-17,,,,530.13,,,,,,
1998-03-18,,,,530.13,,,,,,
1998-03-19,,,,530.13,,,,,,
1998-03-20,,,,530.13,,,,,,
1998-03-23,,,,530.13,,,,,,
1998-03-24,,,,530.13,,,,,,
1998-03-25,,,,530.13,,,,,,
1998-03-26,,,,530.13,,,,,,
1998-03-27,,,,530.13,,,,,,
1998-03-30,,,,530.13,,,,,,
1998-03-31,,,,552.4,,,,,,
1998-04-01,,,,552.4,,,,,,
1998-04-02,,,,552.4,,,,,,
1998-04-03,,,,552.4,,,,,,
1998-04-06,,,,552.4,,,,,,
1998-04-07,,,,552.4,,,,,,
1998-04-08,,,,552.4,,,,,,
1998-04-09,,,,552.4,,,,,,
1998-04-10,,,,552.4,,,,,,
1998-04-13,,,,552.4,,,,,,
1998-04-14,,,,552.4,,,,,,
1998-04-15,,,,552.4,,,,,,
1998-04-16,,,,552.4,,,,,,
1998-04-17,,,,552.4,,,,,,
1998-04-20,,,,552.4,,,,,,
1998-04-21,,,,552.4,,,,,,
1998-04-22,,,,552.4,,,,,,
1998-04-23,,,,552.4,,,,,,
1998-04-24,,,,552.4,,,,,,
1998-04-27,,,,552.4,,,,,,
1998-04-28,,,,552.4,,,,,,
1998-04-29,,,,552.4,,,,,,
1998-04-30,,,,542.12,,,,,,
1998-05-01,,,,542.12,,,,,,
1998-05-04,,,,542.12,,,,,,
1998-05-05,,,,542.12,,,,,,
1998-05-06,,,,542.12,,,,,,
1998-05-07,,,,542.12,,,,,,
1998-05-08,,,,542.12,,,,,,
1998-05-11,,,,542.12,,,,,,
1998-05-12,,,,542.12,,,,,,
1998-05-13,,,,542.12,,,,,,
1998-05-14,,,,542.12,,,,,,
1998-05-15,,,,542.12,,,,,,
1998-05-18,,,,542.12,,,,,,
