ticker,median_bp,p05_bp,p95_bp
LGTRTRUH Index,5.822088434023318,0.46466574574943925,16.837763802588764
LGCPTRUH Index,19.77577041752897,2.602553732665359,56.37988972190848
H23059US Index,19.658917843951635,1.9441420271677408,58.027733974086196
H04386US Index,46.46684083983188,4.2080569419918294,141.1494134104723
LF94TRUH Index,32.19175380746194,2.807319553186878,92.90636999836052
NDDUUS Index,29.644145197766925,3.432818027213443,89.48324445981835
MSDEXKSN Index,85.6669446069215,10.080740046038292,248.76583859390286
NDDLUK Index,94.14710223729031,6.0633279174948305,247.88718149564127
NDDLSZ Index,75.67726474009261,8.99453899949036,217.89045735629418
NDDLJN Index,104.76747867702996,12.312603511816487,307.82322282906244
M1APJ Index,166.34614354922036,20.660614269512266,433.5381066303785
M1EFZ Index,95.42951033087198,7.689590873789248,279.81757948163227
MP503001 Index,37.75008338905461,4.168589779600827,107.11445279486044
MP503008 Index,30.023443618272648,3.3153164371956088,85.19037940927795
MP503009 Index,104.77696017559276,10.261076191657097,305.0419756196564
EHFI804 Index,47.350137371674705,4.613419238381145,138.72027312450822
HFRIFWI Index,29.989106020119653,3.4796368720400954,101.30411699831532
BCOMGCTR Index,171.1918899563423,13.116136799871072,506.1963013625993
